CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0103,0.9997508221712416
C0001,C0164,0.9994623722507264
C0001,C0069,0.9963114139971576
C0002,C0029,0.9998159465033968
C0002,C0031,0.9992104284992624
C0002,C0077,0.9847869854010873
C0003,C0176,0.996972996652657
C0003,C0070,0.9720529437012835
C0003,C0144,0.9632379124271557
C0004,C0075,0.9962137508984765
C0004,C0113,0.9851817872638582
C0004,C0012,0.9826629066609655
C0005,C0131,0.9995372589255568
C0005,C0186,0.9961995386096014
C0005,C0150,0.9954743267751809
C0006,C0079,0.9999338593551031
C0006,C0117,0.9949975988668528
C0006,C0040,0.9652525967603752
C0007,C0167,0.992731437427933
C0007,C0080,0.9837641736883911
C0007,C0020,0.9817835377909384
C0008,C0084,0.9904601300094
C0008,C0090,0.9830107567709434
C0008,C0179,0.9730781299024122
C0009,C0146,0.9922967877029858
C0009,C0083,0.9882624481095075
C0009,C0180,0.9858807630383194
C0010,C0142,0.9703677068531741
C0010,C0166,0.9686465079540801
C0010,C0151,0.9585136514437443
C0011,C0171,0.999902114197636
C0011,C0170,0.9985843552436684
C0011,C0096,0.9983169110052734
C0012,C0068,0.9985003396252194
C0012,C0046,0.995026810151476
C0012,C0057,0.992344559912952
C0013,C0188,0.9995815765764814
C0013,C0059,0.999460324246452
C0013,C0141,0.9983738566322169
C0014,C0033,0.9995916033141689
C0014,C0060,0.9993497699228906
C0014,C0150,0.9990894076593186
C0015,C0123,0.9985844252534567
C0015,C0150,0.9952671350001199
C0015,C0130,0.9952595609182044
C0016,C0107,0.9832231757510023
C0016,C0152,0.9568218867029888
C0016,C0137,0.9313656764031143
C0017,C0175,0.9923246615448003
C0017,C0113,0.9911287406941052
C0017,C0162,0.9902818502614176
C0018,C0182,0.991371258397653
C0018,C0148,0.9871822747398821
C0018,C0200,0.9847089714775271
C0019,C0172,0.9947989606456467
C0019,C0116,0.9779421940731468
C0019,C0119,0.9482423384721053
C0020,C0080,0.9998730459890207
C0020,C0167,0.9917927675573677
C0020,C0159,0.9901222235711674
C0021,C0108,0.998503860681557
C0021,C0067,0.9909118562467211
C0021,C0093,0.9873540644735758
C0022,C0013,0.9952705755991856
C0022,C0188,0.9934471763392239
C0022,C0059,0.9934025216948151
C0023,C0100,0.9990892614675084
C0023,C0051,0.9836061710893221
C0023,C0022,0.9562199953038983
C0024,C0139,0.9975705706128565
C0024,C0194,0.994756575886725
C0024,C0098,0.9871928407504115
C0025,C0032,0.9955890745648419
C0025,C0121,0.9901362969890584
C0025,C0192,0.9889992841172294
C0026,C0040,0.991137344777251
C0026,C0070,0.9705214721143324
C0026,C0117,0.9647763621409233
C0027,C0073,0.9966791774470183
C0027,C0144,0.9960215916585315
C0027,C0151,0.9938493194934691
C0028,C0057,0.9997278262745878
C0028,C0105,0.9946544084275636
C0028,C0046,0.9920739235441026
C0029,C0002,0.9998159465033968
C0029,C0031,0.998264279798233
C0029,C0077,0.9828447873173857
C0030,C0038,0.9987129380833477
C0030,C0086,0.9971196356840764
C0030,C0106,0.9823745253947129
C0031,C0002,0.9992104284992624
C0031,C0029,0.998264279798233
C0031,C0077,0.9876561558212227
C0032,C0025,0.9955890745648419
C0032,C0192,0.9949392973822238
C0032,C0083,0.987154596534358
C0033,C0060,0.9999720004069864
C0033,C0014,0.9995916033141689
C0033,C0150,0.9974621410035504
C0034,C0091,0.916206302216233
C0034,C0134,0.7865016895696413
C0034,C0190,0.7808014117500185
C0035,C0052,0.9985206120053417
C0035,C0095,0.9956192436359993
C0035,C0063,0.9934568361556652
C0036,C0132,0.9999647953304397
C0036,C0112,0.999650391882221
C0036,C0159,0.9978783270421575
C0037,C0170,0.9992685867574318
